HDR,ROLLING SYSTEM DEMAND
VD,20210104114500,41518
VD,20210104115000,41631
VD,20210104115500,41762
VD,20210104120000,41771
VD,20210104120500,41914
VD,20210104121000,41932
VD,20210104121500,41928
VD,20210104122000,42036
VD,20210104122500,42169
VD,20210104123000,42156
VD,20210104123500,42149
VD,20210104124000,42098
VD,20210104124500,42148
VD,20210104125000,42232
VD,20210104125500,42346
VD,20210104130000,42413
VD,20210104130500,42711
VD,20210104131000,42762
VD,20210104131500,42679
VD,20210104132000,42648
VD,20210104132500,42547
VD,20210104133000,42606
VD,20210104133500,42677
VD,20210104134000,42781
VD,20210104134500,42678
VD,20210104135000,42616
VD,20210104135500,42554
VD,20210104140000,42551
VD,20210104140500,42625
VD,20210104141000,42849
VD,20210104141500,42843
VD,20210104142000,42785
VD,20210104142500,42681
VD,20210104143000,42706
VD,20210104143500,42822
VD,20210104144000,42708
VD,20210104144500,42589
VD,20210104145000,42587
VD,20210104145500,42655
VD,20210104150000,42691
VD,20210104150500,42588
VD,20210104151000,42632
VD,20210104151500,42703
VD,20210104152000,42860
VD,20210104152500,42915
VD,20210104153000,42900
VD,20210104153500,42971
VD,20210104154000,42977
VD,20210104154500,43094
VD,20210104155000,43208
VD,20210104155500,43313
VD,20210104160000,43396
VD,20210104160500,43673
VD,20210104161000,43961
VD,20210104161500,44168
VD,20210104162000,44425
VD,20210104162500,44709
VD,20210104163000,44866
VD,20210104163500,44984
VD,20210104164000,45228
VD,20210104164500,45498
VD,20210104165000,45645
VD,20210104165500,45714
VD,20210104170000,45738
VD,20210104170500,45822
VD,20210104171000,45857
VD,20210104171500,45952
VD,20210104172000,46047
VD,20210104172500,46109
VD,20210104173000,46092
VD,20210104173500,46035
VD,20210104174000,45876
VD,20210104174500,45693
VD,20210104175000,45632
VD,20210104175500,45466
VD,20210104180000,45411
VD,20210104180500,45373
VD,20210104181000,45345
VD,20210104181500,45267
VD,20210104182000,45201
VD,20210104182500,45008
VD,20210104183000,44886
VD,20210104183500,44940
VD,20210104184000,44873
VD,20210104184500,44548
VD,20210104185000,44402
VD,20210104185500,44272
VD,20210104190000,44107
VD,20210104190500,43841
VD,20210104191000,43749
VD,20210104191500,43571
VD,20210104192000,43245
VD,20210104192500,42954
VD,20210104193000,42742
VD,20210104193500,42600
VD,20210104194000,42247
VD,20210104194500,41968
VD,20210104195000,41800
VD,20210104195500,41460
VD,20210104200000,41124
VD,20210104200500,40789
VD,20210104201000,40130
VD,20210104201500,39704
VD,20210104202000,39551
VD,20210104202500,39396
VD,20210104203000,39141
VD,20210104203500,38863
VD,20210104204000,38703
VD,20210104204500,38631
VD,20210104205000,38348
VD,20210104205500,38257
VD,20210104210000,38163
VD,20210104210500,38001
VD,20210104211000,37512
VD,20210104211500,37181
VD,20210104212000,36864
VD,20210104212500,36535
VD,20210104213000,36294
VD,20210104213500,36065
VD,20210104214000,35849
VD,20210104214500,35634
VD,20210104215000,35283
VD,20210104215500,34946
VD,20210104220000,34630
VD,20210104220500,34179
VD,20210104221000,33899
VD,20210104221500,33550
VD,20210104222000,33137
VD,20210104222500,32718
VD,20210104223000,32349
